,Batting Avg All,Batting Avg Rec,Batting Ball By Wicket All,Batting Ball By Wicket Rec,Batting Strike Rate All,Batting Strike Rate Rec,Bowling Avg All,Bowling Avg Rec,Bowling Eco All,Bowling Eco Rec,Bowling Strike Rate All,Bowling Strike Rate Rec,Current Winner,Decision Winning Toss,Face To Face Win Diff,Innings,Non Striker Ball,Non Striker Run,Striker Ball,Striker Run,Target,Team1 No Of Matches,Team2 No Of Matches,Toss Jitse,Total Ball,Total Run,Total Wicket,Win Percentage All,Win Percentage Rec,Team_1,Team_2
37,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,5.6,0,5.6,34,160,80,91,2,5.6,52,1,-0.092897328,0.666666667,Bangladesh,India
38,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,6.1,34,6.1,0,160,80,91,2,6.1,52,2,-0.092897328,0.666666667,Bangladesh,India
39,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,6.2,34,6.2,0,160,80,91,2,6.2,52,2,-0.092897328,0.666666667,Bangladesh,India
40,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,6.3,34,6.3,0,160,80,91,2,6.3,52,2,-0.092897328,0.666666667,Bangladesh,India
41,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,6.4,34,6.4,1,160,80,91,2,6.4,53,2,-0.092897328,0.666666667,Bangladesh,India
42,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,6.5,1,6.5,34,160,80,91,2,6.5,53,2,-0.092897328,0.666666667,Bangladesh,India
43,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,6.6,1,6.6,35,160,80,91,2,6.6,54,2,-0.092897328,0.666666667,Bangladesh,India
44,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,7.1,1,7.1,36,160,80,91,2,7.1,55,2,-0.092897328,0.666666667,Bangladesh,India
45,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,7.2,36,7.2,2,160,80,91,2,7.2,56,2,-0.092897328,0.666666667,Bangladesh,India
46,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,7.3,2,7.3,36,160,80,91,2,7.3,56,2,-0.092897328,0.666666667,Bangladesh,India
