,Batting Avg All,Batting Avg Rec,Batting Ball By Wicket All,Batting Ball By Wicket Rec,Batting Strike Rate All,Batting Strike Rate Rec,Bowling Avg All,Bowling Avg Rec,Bowling Eco All,Bowling Eco Rec,Bowling Strike Rate All,Bowling Strike Rate Rec,Current Winner,Decision Winning Toss,Face To Face Win Diff,Innings,Non Striker Ball,Non Striker Run,Striker Ball,Striker Run,Target,Team1 No Of Matches,Team2 No Of Matches,Toss Jitse,Total Ball,Total Run,Total Wicket,Win Percentage All,Win Percentage Rec,Pakistan,New Zealand
32,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,5.3,18,5.3,36,160,78,68,1,5.3,54,0,-0.111940299,0.333333333,Pakistan,New Zealand
33,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,5.4,36,5.4,18,160,78,68,1,5.4,54,0,-0.111940299,0.333333333,Pakistan,New Zealand
34,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,5.5,36,5.5,22,160,78,68,1,5.5,58,0,-0.111940299,0.333333333,Pakistan,New Zealand
35,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,5.6,36,5.6,26,160,78,68,1,5.6,62,0,-0.111940299,0.333333333,Pakistan,New Zealand
36,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,6.1,26,6.1,37,160,78,68,1,6.1,63,0,-0.111940299,0.333333333,Pakistan,New Zealand
37,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,6.2,37,6.2,27,160,78,68,1,6.2,64,0,-0.111940299,0.333333333,Pakistan,New Zealand
38,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,6.3,27,6.3,37,160,78,68,1,6.3,64,0,-0.111940299,0.333333333,Pakistan,New Zealand
39,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,6.4,27,6.4,38,160,78,68,1,6.4,65,0,-0.111940299,0.333333333,Pakistan,New Zealand
40,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,6.5,38,6.5,28,160,78,68,1,6.5,66,0,-0.111940299,0.333333333,Pakistan,New Zealand
41,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,6.6,28,6.6,39,160,78,68,1,6.6,67,0,-0.111940299,0.333333333,Pakistan,New Zealand
42,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,7.1,28,7.1,40,160,78,68,1,7.1,68,0,-0.111940299,0.333333333,Pakistan,New Zealand
43,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,7.2,40,7.2,29,160,78,68,1,7.2,69,0,-0.111940299,0.333333333,Pakistan,New Zealand
44,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,7.3,29,7.3,41,160,78,68,1,7.3,70,0,-0.111940299,0.333333333,Pakistan,New Zealand
45,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,7.4,41,7.4,30,160,78,68,1,7.4,71,0,-0.111940299,0.333333333,Pakistan,New Zealand
46,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,7.5,30,7.5,42,160,78,68,1,7.5,72,0,-0.111940299,0.333333333,Pakistan,New Zealand
47,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,7.6,42,7.6,34,160,78,68,1,7.6,76,0,-0.111940299,0.333333333,Pakistan,New Zealand
48,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,8.1,34,8.1,44,160,78,68,1,8.1,78,0,-0.111940299,0.333333333,Pakistan,New Zealand
