,Batting Avg All,Batting Avg Rec,Batting Ball By Wicket All,Batting Ball By Wicket Rec,Batting Strike Rate All,Batting Strike Rate Rec,Bowling Avg All,Bowling Avg Rec,Bowling Eco All,Bowling Eco Rec,Bowling Strike Rate All,Bowling Strike Rate Rec,Current Winner,Decision Winning Toss,Face To Face Win Diff,Innings,Non Striker Ball,Non Striker Run,Striker Ball,Striker Run,Target,Team1 No Of Matches,Team2 No Of Matches,Toss Jitse,Total Ball,Total Run,Total Wicket,Win Percentage All,Win Percentage Rec,Team_1,Team_2,Day/Night
34,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,5.5,7,5.5,2,160,24,45,1,5.5,26,2,0.077075099,-0.666666667,England,Australia,1
35,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,5.6,2,5.6,11,160,24,45,1,5.6,30,2,0.077075099,-0.666666667,England,Australia,1
36,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,6.1,11,6.1,3,160,24,45,1,6.1,31,2,0.077075099,-0.666666667,England,Australia,1
37,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,6.2,3,6.2,11,160,24,45,1,6.2,32,2,0.077075099,-0.666666667,England,Australia,1
38,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,6.3,11,6.3,7,160,24,45,1,6.3,36,2,0.077075099,-0.666666667,England,Australia,1
39,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,6.4,11,6.4,9,160,24,45,1,6.4,38,2,0.077075099,-0.666666667,England,Australia,1
40,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,6.5,11,6.5,10,160,24,45,1,6.5,39,2,0.077075099,-0.666666667,England,Australia,1
41,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,6.6,10,6.6,11,160,24,45,1,6.6,39,2,0.077075099,-0.666666667,England,Australia,1
42,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,7.1,11,7.1,11,160,24,45,1,7.1,40,2,0.077075099,-0.666666667,England,Australia,1
43,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,7.2,11,7.2,17,160,24,45,1,7.2,46,2,0.077075099,-0.666666667,England,Australia,1
44,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,7.3,11,7.3,18,160,24,45,1,7.3,47,2,0.077075099,-0.666666667,England,Australia,1
45,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,7.4,18,7.4,12,160,24,45,1,7.4,48,2,0.077075099,-0.666666667,England,Australia,1
46,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,7.5,12,7.5,19,160,24,45,1,7.5,49,2,0.077075099,-0.666666667,England,Australia,1
