,Batting Avg All,Batting Avg Rec,Batting Ball By Wicket All,Batting Ball By Wicket Rec,Batting Strike Rate All,Batting Strike Rate Rec,Bowling Avg All,Bowling Avg Rec,Bowling Eco All,Bowling Eco Rec,Bowling Strike Rate All,Bowling Strike Rate Rec,Face To Face Win Diff,Win Percentage All,Win Percentage Rec,Current Winner
0,-8.46333375,-26.00790514,-5.23119134,-17.91936759,-0.118838542,-0.218470888,1.95322412,-2.064935065,-0.039662988,-1.050962954,1.607305681,0.680519481,0,-0.342682141,-0.666666667,0
1,-2.139730339,-8.9825,-0.385644054,-6.147,-0.100602332,-0.02684532,-2.577587691,-3.033333333,-0.727255361,-0.044165819,-0.372183402,-2.073333333,0.5,0,-0.333333333,0
2,-0.221929825,10.43137255,-0.801632342,5.911764706,0.043684713,0.128871183,2.94928408,12.5,0.468324623,0.827988452,1.261489452,7.246153846,0,-0.106060606,0,0
3,-3.703891505,-8.791925466,-2.525722564,-3.47515528,-0.044474262,-0.351152551,6.680092593,-6.862745098,0.668074193,-1.610015934,3.807986111,-1.194117647,-0.833333333,-0.376547988,-0.333333333,0
4,-2.009538819,-23.30917874,-2.672196417,-23.22028986,0.079204523,0.253229249,-1.632341122,10.29144385,-0.112449255,1.529415167,-1.021418969,4.59144385,0.125,-0.064338235,-0.666666667,0
5,4.07122659,17.31777778,1.095244559,7.874666667,0.156988557,0.472249402,2.526003123,16.64242424,0.730996005,1.872197779,0.295172788,7.018181818,0,0.014276444,0.333333333,0
6,-1.266298592,-2.906593407,-1.27411081,-1.618681319,0.017658294,-0.032955428,3.087126217,11.5370844,0.575773345,0.372937362,1.140018909,7.944245524,0.1,-0.10281655,0,0
7,-6.308613674,0.153103448,-2.529763023,2.467862069,-0.192489256,-0.20649399,4.427857253,2.521568627,0.140625001,-0.187452781,3.114068165,2.282352941,-0.5,-0.293167702,0,0
8,-0.202174863,3.497076023,-0.042918033,1.031578947,-0.008541985,0.113378685,-3.04789366,2.575757576,-0.473888928,0.732757594,-1.424075148,0.501298701,0.666666667,0.125503807,0,0
9,0.663493742,-5.868055556,0.435034373,-3.220833333,0.007405909,-0.091300197,-1.59146438,-0.277298851,-0.23273363,0.12227402,-0.764612137,-0.489655172,0.8,0.116666667,-0.333333333,1
10,2.225168927,7.820512821,1.504080127,9.692307692,0.016225453,-0.212930701,1.912431382,-5.049230769,0.229955272,-2.303157474,0.997282231,0.051692308,0.571428571,-0.009899482,0,1
11,3.975620723,10.35714286,2.348,7.728571429,0.053594132,0.019027354,2.845730006,-0.646464646,0.484920819,0.142524067,1.177502069,-0.890909091,0.4,-0.01295082,0.333333333,0
12,0.715030607,1.411255411,-0.420576838,-0.815584416,0.06928156,0.154547077,3.607402313,18.7,0.685317546,3.087944456,1.299407533,7.353333333,0,-0.14373814,-0.666666667,0
13,0.560044087,9.806060606,0.820299022,6.381818182,-0.025846897,0.119213457,-1.455958393,-3.845714286,-0.354378664,-0.109205863,-0.334808802,-2.957714286,-0.166666667,-0.008333333,0.333333333,0
14,0.357514881,0.593567251,0.682142857,-0.189473684,-0.027788134,0.050019886,-1.254381865,0.213250518,-0.341376966,0.033103759,-0.20740243,0.11552795,-0.285714286,-0.0235363,-0.333333333,1
15,-3.232312073,-10.3025,-2.827809692,-8.3535,0.021069045,0.000186242,0.787519474,7.175438596,0.209578682,1.181605851,0.126847845,2.768421053,0.285714286,-0.119778346,-0.666666667,1
16,2.965649279,-2.432900433,0.252413984,-1.636363636,0.15062056,-0.024704569,2.517589477,8.129901961,0.557182174,0.047601664,0.811773043,6.017647059,-0.181818182,-0.08040293,-0.333333333,1
17,-0.006985321,-7.415204678,-1.228815799,-2.835087719,0.087225458,-0.22358661,0.385150921,-5.409090909,0.082974121,-2.286906181,0.123048951,0.490909091,0.363636364,-0.067729909,0,0
18,-0.190997367,-9.945054945,-1.342396313,-4.991208791,0.084785141,-0.137382551,0.512641565,-7.555555556,0.088412289,-2.277712821,0.211527519,-0.166666667,0.25,-0.080917874,0,1
19,0.040971995,-3.50952381,-1.254004577,-3.534285714,0.090877343,0.030507119,0.326500249,-13.75,0.046374311,-2.596340712,0.15692579,-4.56,0.307692308,-0.065753425,0.333333333,1
20,-8.528265107,-8.528265107,-6.244444444,-6.244444444,-0.142510779,-0.142510779,2.751082251,2.751082251,1.184647491,1.184647491,-0.123376623,-0.123376623,0,-0.333333333,-0.333333333,1
21,0.034585321,-1.07,-0.576797839,-1.358,0.043136801,0.021164021,4.035077409,-5.377777778,0.777911821,-0.153570771,1.496123532,-4.073333333,-0.222222222,-0.101265823,0,0
22,-0.146174762,3.804347826,-0.696203189,-0.124505929,0.040856808,0.269129505,4.18965313,2.444444444,0.773265265,0.326153991,1.624655262,1.166666667,-0.3,-0.113194444,0,1
23,2.511775878,3.938080495,1.435384615,4.357894737,0.040357126,-0.052958886,-0.551578731,2.5,0.012605458,0.056619182,-0.470111564,1.880952381,0.833333333,0.099613812,0,0
24,2.584173026,1.333333333,1.512532415,3.457142857,0.038780559,-0.161429173,-0.662753231,1.403508772,0.013143936,0.404607087,-0.559417376,0.201754386,0.571428571,0.083333333,-0.666666667,0
25,2.469013108,0.210526316,1.449684271,1.252631579,0.035932332,-0.089541841,-0.628677792,2.119047619,0.00983178,0.423958028,-0.520005135,0.642857143,0.375,0.067529966,-1,1
26,-3.092934332,5.889130435,-2.162175877,2.692173913,-0.033903805,0.188247201,7.236118881,25.20454545,0.736559752,1.759609326,4.050713287,14.23909091,-0.857142857,-0.37654321,-0.333333333,1
